#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","New
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
113,Laos,"216,355",20,758,,N/A,N/A,N/A,,"28,921",101,"1,233,207","164,845","7,481,023"
114,Iceland,"206,803",,219,,N/A,N/A,N/A,2,"598,747",634,"1,996,384","5,780,036","345,393"
115,Kyrgyzstan,"206,464",,"2,991",,"196,406",,"7,067",131,"30,686",445,"1,907,195","283,46","6,728,271"
116,Afghanistan,"204,417",11,"7,829",,"181,361",16,"15,227","1,124","5,016",192,"1,144,298","28,078","40,754,388"
117,El Salvador,"201,785",,"4,23",,"179,41",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389"
118,Guadeloupe,"196,27",,993,,N/A,N/A,N/A,19,"490,928","2,484","938,039","2,346,306","399,794"
119,Maldives,"185,454",,309,,"163,687",,"21,458",25,"342,808",571,"2,213,831","4,092,223","540,985"
120,Trinidad and Tobago,"184,949",,"4,257",,"180,461",,231,8,"131,488","3,026","859,129","610,791","1,406,585"
121,Ghana,"170,894",,"1,46",,"169,218",,216,2,"5,275",45,"2,518,296","77,736","32,395,450"
122,Namibia,"169,946",,"4,08",,"165,826",,40,,"64,523","1,549","1,062,663","403,46","2,633,874"
123,Uganda,"169,473",,"3,63",,"100,431",,"65,412",3,"3,499",75,"3,012,408","62,198","48,432,863"
124,Jamaica,"151,931",,"3,32",,"99,392",,"49,219",,"50,897","1,112","1,183,986","396,633","2,985,094"
125,Cambodia,"137,996",,"3,056",,"134,94",,0,,"8,038",178,"3,091,420","180,062","17,168,639"
126,Rwanda,"132,611",,"1,467",,"131,112",,32,,"9,75",108,"5,841,019","429,472","13,600,464"
127,Cameroon,"123,993",,"1,965",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548"
128,Malta,"115,587",24,808,,"114,105",17,674,4,"260,312","1,82","2,083,252","4,691,660","444,033"
129,Angola,"103,131",,"1,917",,"101,155",,59,,"2,944",55,"1,499,795","42,818","35,027,343"
130,Barbados,"103,014",,560,,"102,024",,430,,"357,659","1,944","770,1","2,673,745","288,023"
131,Channel Islands,"94,879",,206,,"94,114",,559,,"537,671","1,167","1,252,808","7,099,551","176,463"
132,French Guiana,"94,421",,411,,"11,254",,"82,756",2,"300,542","1,308","651,257","2,072,951","314,169"
133,DRC,"93,467",,"1,447",,"83,561",,"8,459",,981,15,"846,704","8,89","95,240,792"
134,Senegal,"88,832",,"1,968",,"86,826",,38,,"5,032",111,"1,146,543","64,946","17,653,671"
135,Malawi,"88,073",,"2,685",,"84,99",,398,67,"4,364",133,"622,049","30,824","20,180,839"
136,Ivory Coast,"87,851",,829,,"87,007",,15,,"3,167",30,"1,647,611","59,39","27,742,298"
137,Suriname,"81,228",,"1,392",,N/A,N/A,N/A,,"136,099","2,332","239,603","401,459","596,831"
138,French Polynesia,"76,797",,649,,N/A,N/A,N/A,7,"270,256","2,284",,,"284,164"
139,New Caledonia,"74,441",,314,,74,,127,9,"255,886","1,079","98,964","340,182","290,915"
140,Eswatini,"73,618",,"1,422",,"72,125",,71,,"62,134","1,2","1,047,249","883,891","1,184,817"
141,Guyana,"71,461",,"1,281",,"70,153",,27,,"89,996","1,613","703,255","885,661","794,045"
142,Belize,"68,972",,687,,"68,275",,10,6,"167,331","1,667","576,016","1,397,453","412,19"
143,Fiji,"68,287",,878,,"66,335",,"1,074",,"75,085",965,"664,624","730,785","909,466"
144,Madagascar,"66,788",,"1,411",,"65,297",,80,,"2,289",48,"515,324","17,661","29,178,077"
145,Sudan,"63,561",,"4,98",,"57,765",,816,,"1,382",108,"562,941","12,24","45,992,020"
146,Mauritania,"63,41",,997,,"62,374",,39,,"12,936",203,"1,002,821","204,575","4,901,981"
147,Cabo Verde,"62,646",,410,,"62,061",,175,23,"110,355",722,"401,622","707,482","567,678"
148,Bhutan,"62,43",,21,,"61,564",,845,,"79,232",27,"2,303,734","2,923,739","787,941"
149,Syria,"57,378",,"3,163",,"54,207",,8,,"2,963",163,"146,269","7,553","19,364,809"
150,Burundi,"50,574",,38,,"50,397",,139,,"4,006",3,"345,742","27,386","12,624,840"
151,Seychelles,"49,38",,171,,"48,626",,583,,"496,651","1,72",,,"99,426"
152,Gabon,"48,945",,306,,"48,392",,247,,"20,993",131,"1,619,864","694,763","2,331,533"
153,Andorra,"46,664",,155,,"46,407",,102,14,"602,404","2,001","249,838","3,225,256","77,463"
154,Papua New Guinea,"45,721",,668,,"43,982",,"1,071",7,"4,92",72,"249,149","26,813","9,292,169"
155,Curaçao,"45,507",,293,,"44,72",,494,3,"274,919","1,77","496,693","3,000,640","165,529"
156,Aruba,"43,379",,233,,"42,438",,708,2,"403,117","2,165","177,885","1,653,068","107,609"
157,Mauritius,"40,801",,"1,031",,"39,079",,691,,"32,008",809,"358,675","281,374","1,274,727"
158,Mayotte,"40,339",,187,,N/A,N/A,N/A,,"140,918",653,"176,919","618,038","286,259"
159,Tanzania,"40,152",,845,,N/A,N/A,N/A,7,634,13,,,"63,298,550"
160,Togo,"39,317",,290,,"39,012",,15,,"4,529",33,"799,194","92,064","8,680,837"
161,Guinea,"38,122",,458,,"37,174",,490,8,"2,749",33,"660,107","47,607","13,865,691"
162,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
163,Bahamas,"37,386",,833,,"36,27",,283,2,"93,345","2,08","256,731","641,001","400,516"
164,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,778,"15,802,409","49,233"
165,Lesotho,"34,49",,706,,"25,98",,"7,804",,"15,852",324,"431,221","198,199","2,175,699"
166,Haiti,"33,828",,860,,"32,729",,239,,"2,896",74,"132,422","11,337","11,680,283"
167,Mali,"32,745",,742,,"31,916",,87,,"1,525",35,"773,186","36,006","21,473,764"
168,Cayman Islands,"31,194",,36,,"8,553",,"22,605",1,"463,665",535,"222,773","3,311,280","67,277"
169,Saint Lucia,"29,55",,404,,"29,095",,51,,"159,632","2,182","210,983","1,139,752","185,113"
170,Benin,"27,912",,163,,"27,73",,19,5,"2,183",13,"604,31","47,268","12,784,726"
171,Somalia,"27,254",,"1,361",,"13,182",,"12,711",,"1,618",81,"400,466","23,778","16,841,795"
172,Congo,"24,837",,386,,"24,006",,445,,"4,284",67,"347,815","59,991","5,797,805"
173,Timor-Leste,"23,312",,138,,"23,102",,72,,"17,023",101,"278,529","203,391","1,369,429"
174,Micronesia,"22,203",,55,,N/A,N/A,N/A,1,"188,979",468,"21,923","186,596","117,489"
175,San Marino,"21,739",,119,,"21,52",,100,4,"637,788","3,491","157,634","4,624,732","34,085"
176,Burkina Faso,"21,631",,387,,"21,143",,101,,979,18,"248,995","11,265","22,102,838"
177,Solomon Islands,"21,544",,153,,"16,357",,"5,034",1,"29,874",212,"5,117","7,096","721,159"
178,Liechtenstein,"20,75",,87,,"20,59",,73,1,"540,548","2,266","102,174","2,661,682","38,387"
179,Gibraltar,"20,166",,110,,"16,579",,"3,477",,"598,327","3,264","534,283","15,852,213","33,704"
180,Grenada,"19,613",,237,,"19,358",,18,4,"172,84","2,089","182,981","1,612,523","113,475"
181,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100"
182,Bermuda,"18,428",,149,,"18,244",,35,,"297,519","2,406","1,017,514","16,427,679","61,939"
183,South Sudan,"18,325",,138,,"18,115",,72,1,"1,577",12,"410,28","35,313","11,618,511"
184,Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464"
185,Equatorial Guinea,"17,182",,183,,"16,871",,128,5,"11,48",122,"365,697","244,342","1,496,662"
186,Tonga,"16,182",,12,,"15,638",,532,,"150,182",111,"535,009","4,965,327","107,749"
187,Samoa,"15,946",,29,,"1,605",,"14,312",4,"78,847",143,"187,397","926,612","202,239"
188,Dominica,"15,76",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344"
189,Djibouti,"15,69",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097"
190,Marshall Islands,"15,389",,17,,"15,358",,14,22,"256,24",283,,,"60,057"
191,CAR,"15,289",,113,,"14,615",,561,2,"3,048",23,"81,294","16,205","5,016,678"
192,Monaco,"15,071",,63,,"14,952",,56,4,"378,83","1,584","78,646","1,976,875","39,783"
193,Gambia,"12,58",,372,,"12,174",,34,,"4,917",145,"155,686","60,851","2,558,482"
194,Saint Martin,"12,026",,63,,"1,399",,"10,564",7,"302,693","1,586","112,382","2,828,643","39,73"
195,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973"
196,Vanuatu,"11,952",,14,,"11,937",,1,,"37,137",44,"24,976","77,606","321,832"
197,Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867"
198,Caribbean Netherlands,"11,34",,36,,"10,476",,828,,"425,564","1,351","30,126","1,130,559","26,647"
199,Sint Maarten,"10,931",,89,,"10,833",,9,,"248,624","2,024","62,056","1,411,454","43,966"
200,Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,47","3,662,244"
201,Niger,"9,931",,312,,"8,89",,729,1,381,12,"254,538","9,759","26,083,660"
202,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509"
203,Comoros,"8,879",,161,,"8,587",,131,,"9,785",177,,,"907,419"
204,Guinea-Bissau,"8,848",,176,,"8,642",,30,6,"4,288",85,"145,231","70,385","2,063,367"
205,Liberia,"7,998",,294,,"7,696",,8,2,"1,508",55,"139,824","26,356","5,305,117"
206,Sierra Leone,"7,758",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436"
207,Chad,"7,631",,194,,"4,874",,"2,563",,438,11,"191,341","10,988","17,413,580"
208,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596"
209,St. Vincent Grenadines,"7,112",,115,,"6,641",,356,,"63,756","1,031","100,856","904,125","111,551"
210,Saint Kitts and Nevis,"6,548",,46,,"6,482",,20,,"121,55",854,"124,861","2,317,778","53,871"
211,Turks and Caicos,"6,431",,36,,"6,364",,31,4,"161,823",906,"550,203","13,844,720","39,741"
212,Cook Islands,"6,389",,1,,"6,384",,4,,"363,61",57,"19,69","1,120,596","17,571"
213,Sao Tome and Principe,"6,275",,77,,"6,193",,5,,"27,561",338,"29,036","127,53","227,679"
214,Palau,"5,53",,7,,"5,51",,13,1,"303,296",384,"65,875","3,612,955","18,233"
215,St. Barth,"5,323",,6,,N/A,N/A,N/A,,"535,244",603,"78,646","7,908,095","9,945"
216,Nauru,"4,611",,1,,"4,605",,5,,"422,911",92,"20,509","1,881,042","10,903"
217,Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,23"
218,Kiribati,"3,43",,13,,"2,703",,714,3,"27,792",105,,,"123,419"
219,Saint Pierre Miquelon,"3,231",,1,,"2,449",,781,1,"561,035",174,"25,12","4,361,868","5,759"
220,Falkland Islands,"1,93",,,,"1,93",,0,,"545,352",,"8,632","2,439,107","3,539"
221,Saint Helena,"1,8",,,,2,,"1,798",,"294,358",,,,"6,115"
222,Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965"
223,Tuvalu,835,,,,,,835,,"69,203",,,,"12,066"
224,Macao,795,,6,,787,,2,,"1,191",9,"7,85","11,76","667,49"
225,Wallis and Futuna,761,,7,,438,,316,,"69,295",637,"20,508","1,867,419","10,982"
226,Diamond Princess,712,,13,,699,,0,,,,,,
227,Niue,85,,,,85,,0,,"52,404",,,,"1,622"
228,Vatican City,29,,,,29,,0,,"36,295",,,,799
229,Western Sahara,10,,1,,9,,0,,16,2,,,"626,161"
230,MS Zaandam,9,,2,,7,,0,,,,,,
